,cities,aqi,latitude,longitude,pm25,pm10,o3,uvi,date
776,Haiyang,20,36.794167,121.150556,13.0,18.0,6.0,0.0,11-30-2021
777,Morelia,80,19.702153,-101.190948,80.0,17.0,5.0,2.0,11-30-2021
778,Huangshi ,55,30.199652,115.03852,55.0,28.0,4.0,1.0,11-30-2021
782,Qixia,57,37.306944,120.836944,57.0,19.0,14.0,0.0,11-30-2021
788,Changzhi,76,36.195386,113.116255,76.0,24.0,7.0,0.0,11-30-2021
789,Qujing,61,25.49001,103.796167,61.0,19.0,7.0,1.0,11-30-2021
794,Maoming,63,21.662999,110.925456,63.0,28.0,12.0,1.0,11-30-2021
798,Moradabad,257,28.8253591,78.7830383,257.0,63.0,13.0,1.0,11-30-2021
800,Sheffield,20,53.378622,-1.478096,10.0,5.0,27.0,0.0,11-30-2021
801,Donggang,87,22.4794,120.4417,87.0,22.0,4.0,2.0,11-30-2021
803,Acheng,122,45.5422,126.979,122.0,19.0,3.0,0.0,11-30-2021
807,Wroclaw,29,51.086225,17.012689,29.0,34.0,6.0,0.0,11-30-2021
808,Jieyang,68,23.549993,116.372831,68.0,19.0,6.0,2.0,11-30-2021
809,Shaoxing,97,29.995762,120.586109,97.0,31.0,1.0,1.0,11-30-2021
812,Qionglai,39,30.4175,103.438333,17.0,71.0,26.0,0.0,11-30-2021
813,Deyang,132,31.126856,104.398021,132.0,25.0,7.0,1.0,11-30-2021
814,Sagamihara,30,35.5714621,139.3731765,1.0,24.0,2.0,1.0,11-30-2021
815,Fuyang ,104,30.048735,119.960109,104.0,37.0,1.0,1.0,11-30-2021
816,Fuxin,24,42.021619,121.670324,21.0,10.0,10.0,0.0,11-30-2021
817,Jiyuan,68,35.067243,112.601919,68.0,10.0,12.0,1.0,11-30-2021
818,Puente Alto,67,-33.591390623022,-70.594788,34.0,19.0,10.0,0.0,11-30-2021
819,Qufu,68,35.58291899,116.9925683,68.0,28.0,7.0,1.0,11-30-2021
823,Xinji,50,37.943123,115.218021,50.0,42.0,1.0,1.0,11-30-2021
827,Bhiwandi,159,19.25292,73.142019,159.0,46.0,11.0,1.0,11-30-2021
835,Jeonju ,42,35.8242238,127.1479532,42.0,23.0,1.0,0.0,11-30-2021
837,Xichang,70,27.881611,102.267335,70.0,13.0,6.0,0.0,11-30-2021
838,Colombo,38,6.913047,79.84807,38.0,40.0,6.0,3.0,11-30-2021
842,Charlotte ,30,35.281791,-80.851473,30.0,9.0,9.0,0.0,11-30-2021
845,Weihai,50,37.513068,122.12042,50.0,22.0,9.0,0.0,11-30-2021
849,Shaoyang,132,27.238893,111.467791,132.0,45.0,7.0,1.0,11-30-2021
852,Lanxi,55,29.212485,119.466263,55.0,28.0,2.0,1.0,11-30-2021
853,Yuncheng,144,35.026412,111.007529,144.0,18.0,10.0,0.0,11-30-2021
854,Kagoshima,27,31.5965535,130.5571158,21.0,14.0,11.0,1.0,11-30-2021
858,Panjin,34,41.119997,122.070714,34.0,32.0,9.0,0.0,11-30-2021
860,Orumiyeh,111,37.55414,45.04709,99.0,8.0,9.0,1.0,11-30-2021
861,Binzhou,59,37.38199,117.970703,59.0,47.0,2.0,0.0,11-30-2021
863,Baoji,142,34.36198,107.237974,142.0,10.0,13.0,1.0,11-30-2021
865,El Paso ,74,31.7656976,-106.4552204,74.0,27.0,6.0,0.0,11-30-2021
871,Zhaoyuan,23,37.373611,120.398611,5.0,19.0,12.0,0.0,11-30-2021
872,Huizhou,68,23.111847,114.416196,68.0,19.0,15.0,2.0,11-30-2021
873,Tianchang,70,38.088,114.06,70.0,24.0,5.0,1.0,11-30-2021
874,Dortmund,33,51.523543,7.483562,33.0,9.0,15.0,0.0,11-30-2021
875,Shihezi,157,44.2967,86.0497,157.0,9.0,5.0,0.0,11-30-2021
876,Shiyan,76,32.629397,110.797991,76.0,25.0,11.0,0.0,11-30-2021
879,Cheongju,53,36.6424341,127.4890319,53.0,19.0,1.0,0.0,11-30-2021
880,Jingmen,122,31.035423,112.199265,122.0,19.0,13.0,1.0,11-30-2021
882,Anqing,119,30.543494,117.063755,119.0,46.0,6.0,1.0,11-30-2021
884,Stuttgart,21,48.783150000042,9.1807305558523,21.0,5.0,22.0,0.0,11-30-2021
886,Kingston,22,44.219722,-76.521111,21.0,1.0,13.0,0.0,11-30-2021
887,Milwaukee ,24,43.01724,-87.93369,24.0,3.0,13.0,0.0,11-30-2021
889,Glasgow,16,55.85917,-4.258889,10.0,10.0,17.0,0.0,11-30-2021
897,Funabashi,33,35.6947058,139.982618,21.0,29.0,2.0,1.0,11-30-2021
902,Zhangzhou,109,24.512949,117.647481,109.0,31.0,36.0,0.0,11-30-2021
903,Xianning,70,29.841443,114.322492,70.0,28.0,2.0,1.0,11-30-2021
904,Maanshan,31,31.670452,118.50676,30.0,72.0,2.0,1.0,11-30-2021
907,Poznan,18,52.398175,16.95951944,18.0,9.0,20.0,0.0,11-30-2021
908,Kayseri,112,38.717305,35.486887,112.0,26.0,25.0,0.0,11-30-2021
909,Chon Buri,91,13.35461667,100.9792167,91.0,44.0,13.0,2.0,11-30-2021
911,Shuozhou,72,39.331595,112.432825,72.0,1.0,11.0,1.0,11-30-2021
912,Samarinda,21,-0.4948232,117.1436154,21.0,24.0,3.0,4.0,11-30-2021
913,Helsinki,18,60.1733244,24.9410248,11.0,4.0,25.0,0.0,11-30-2021
914,Akesu,162,41.1636,80.2828,162.0,8.0,6.0,0.0,11-30-2021
915,Novokuznetsk,8,53.77754,87.13096,8.0,41.0,6.0,1.0,11-30-2021
918,Hachioji,33,35.6663394,139.3158056,1.0,24.0,2.0,1.0,11-30-2021
920,Beihai,87,21.481254,109.119927,87.0,46.0,22.0,2.0,11-30-2021
924,Yongkang,74,28.8911,120.0317,74.0,28.0,2.0,0.0,11-30-2021
925,Louisville ,27,38.288191,-85.741337,27.0,9.0,10.0,0.0,11-30-2021
926,Chizhou,107,30.6648,117.491568,107.0,46.0,3.0,1.0,11-30-2021
927,Huaiyin,70,33.61036,119.015288,70.0,56.0,1.0,1.0,11-30-2021
928,Fuan,34,35.724299,126.734415,34.0,28.0,1.0,0.0,11-30-2021
930,Dezhou,72,37.434093,116.357465,72.0,31.0,1.0,1.0,11-30-2021
933,Jiujiang,76,29.705078,116.00193,76.0,46.0,4.0,1.0,11-30-2021
934,Bristol,24,51.462839,-2.584482,21.0,7.0,24.0,0.0,11-30-2021
935,Botou,115,38.079,116.57,114.0,20.0,1.0,1.0,11-30-2021
937,Astana,137,51.125286,71.46722,137.0,1.0,10.0,0.0,11-30-2021
940,Nashville-Davidson ,35,36.1767,-86.7386,35.0,8.0,10.0,1.0,11-30-2021
946,Longyan,50,25.075123,117.017537,50.0,21.0,9.0,1.0,11-30-2021
947,Oslo,153,59.903095,10.758408,153.0,12.0,15.0,0.0,11-30-2021
950,Vilnius,3,54.7117424,25.2974345,53.0,17.0,13.0,0.0,11-30-2021
955,Songyuan,50,45.0878,124.8292,50.0,10.0,8.0,0.0,11-30-2021
956,Yangjiang,55,21.857958,111.982232,55.0,28.0,20.0,1.0,11-30-2021
958,Jiangmen,63,22.578738,113.081901,63.0,28.0,7.0,2.0,11-30-2021
959,Xingtai,72,37.070589,114.504844,72.0,46.0,1.0,1.0,11-30-2021
960,Shaoguan,78,24.810403,113.597522,78.0,45.0,9.0,1.0,11-30-2021
965,Jinzhong,65,37.687024,112.752695,65.0,10.0,4.0,1.0,11-30-2021
966,Portland ,19,45.496641,-122.602877,19.0,3.0,10.0,0.0,11-30-2021
970,Oklahoma City ,44,35.502968,-97.577674,34.0,6.0,9.0,1.0,11-30-2021
